"Row.names","logFC_TNF","AveExpr_TNF","t_TNF","P.Value_TNF","adj.P.Val_TNF","B_TNF","logFC_SCO","AveExpr_SCO","t_SCO","P.Value_SCO","adj.P.Val_SCO","B_SCO"
"Parp10",0.884639487591458,4.58770251750249,6.77850024352272,6.73354861298843e-08,3.06018515161932e-07,7.40326808349734,-0.324092862914746,4.58770251750249,-2.91961398348523,0.00603870435456974,0.0248933032757561,-3.306259831162
"Parp11",0.707754753541725,4.98191754338332,5.4221934494264,4.22913721429799e-06,1.43625103207506e-05,3.17601796846462,-0.337226240720584,4.98191754338332,-2.9247131991676,0.00595973256744382,0.0246021430478314,-3.34810593876164
"Parp12",1.74163660818534,5.02291141532111,9.38741189675263,3.59237372397677e-11,2.79385795619499e-10,14.9020068660594,-0.661125905628795,5.02291141532111,-4.43216903570338,8.52429493233476e-05,0.00072602946798997,0.623870500521885
"Parp14",3.3554754045156,4.6137280866481,12.1069993179946,3.4329202578839e-14,4.46544577756497e-13,22.0951612768835,-0.624777463957458,4.6137280866481,-3.69610662555381,0.000731001158687498,0.00444783479638737,-1.52840738654738
"Parp16",-1.491574513336,3.55142644374296,-13.1689552313415,2.92054947600615e-15,4.77238818807765e-14,24.6732744576039,0.436674916929893,3.55142644374296,3.62923194035712,0.000883313584492569,0.0052158827176393,-1.05775515548308
"Parp3",1.00666004581076,6.64326823704399,16.3844618228118,3.56130997479365e-18,1.09133337876923e-16,31.048154406271,-0.167517645508114,6.64326823704399,-2.9300123274892,0.0058786929169091,0.0243357259767346,-3.57248126151996
"Parp8",4.07320106739604,0.367092914644516,8.19897179480736,1.01084881149206e-09,6.20176509515513e-09,12.0815143102959,-0.636779629830047,0.367092914644516,-3.18034268003675,0.00304071567503833,0.0142698343413294,-2.10959500038196
"Parva",0.31883749206686,6.17751963734218,4.55129095915664,5.96756039547111e-05,0.000165425934083102,0.296998472148916,-0.250960297397007,6.17751963734218,-3.73496019519058,0.000654528676202297,0.00406000490106977,-1.42369273558758
"Pbld2",-1.66350706559447,0.477074728019534,-3.76332551119969,0.000603654540914989,0.00140222805152885,-0.472147016379778,1.22188898111745,0.477074728019534,2.80159794524341,0.00816482871698424,0.0320454588166933,-2.50705353078795
"Pbx4",-1.98334740365716,0.0111864371131167,-3.80928690475585,0.000529256082591718,0.00124039794644758,-0.217752971234449,1.57072801145017,0.0111864371131167,3.06884800760626,0.0040904559532555,0.0181983121773413,-1.96343925622958
"Pcbp3",0.573528171434533,2.7181833563576,3.71564220400059,0.00069152845376518,0.00159162167333625,-1.26035648061924,-0.398506383842126,2.7181833563576,-2.99470442555705,0.00496931377478379,0.0211576917773003,-2.652942183983
"Pcca",-0.964113145516351,5.15694406320415,-10.0755871987845,5.64935333363077e-12,4.9925895603128e-11,16.763757865741,0.350748176893187,5.15694406320415,3.64972870900942,0.000833637265661973,0.0049572845061895,-1.39455275720278
"Pcdh19",1.56671972595164,4.76726482802974,14.2429491961748,2.75605573967562e-16,5.49255838119813e-15,26.8412413824787,-0.652599200816432,4.76726482802974,-7.28285380128396,1.48255049029127e-08,3.97525697374008e-07,9.23442193040851
"Pck1",-3.7903897553667,6.36685372500627,-13.4461785253849,1.56855056171953e-15,2.67038377015397e-14,25.3461313911003,4.15745118251738,6.36685372500627,15.0352983557471,5.22918897848472e-17,1.58189670687597e-14,28.0375160876064
"Pcmtd2",-0.491743864260689,4.52937820664832,-5.85376059521599,1.12683931376709e-06,4.22480461612525e-06,4.56335649324403,0.222908942085723,4.52937820664832,2.73568931113115,0.00963790081495808,0.0366445226602886,-3.63551416195481
"Pcna-ps2",0.756132323105882,1.67020616176885,2.61206815556403,0.0130862477134763,0.0232132837954583,-3.85572122506748,-0.71685961519996,1.67020616176885,-2.82850194819222,0.00762617680431123,0.0302941528408296,-2.88044045530961
"Pcolce2",0.492737827574641,3.12364982555518,3.81397862482003,0.000522182447339173,0.00122503649109317,-1.36021118413125,-0.64992506166016,3.12364982555518,-5.41521171139911,4.3205371934248e-06,5.44009581729197e-05,3.86951637267618
