"Row.names","logFC_TNF","AveExpr_TNF","t_TNF","P.Value_TNF","adj.P.Val_TNF","B_TNF","logFC_ROSI","AveExpr_ROSI","t_ROSI","P.Value_ROSI","adj.P.Val_ROSI","B_ROSI"
"Myl9",-1.42186904932676,0.904641917881021,-5.44059077240535,3.99742573232746e-06,1.36384120271832e-05,3.99863066041798,-1.31598899351955,0.904641917881021,-3.46891429201836,0.00138345395287707,0.0045100828228913,-1.15762465119783
"Mylk",0.533871307575965,7.05234402631281,6.79742392772686,6.35950267302116e-08,2.9024917809015e-07,7.06775842394983,0.412812001964302,7.05234402631281,5.55237133954301,2.83816861534639e-06,1.76793628953837e-05,3.50483752240163
"Myo10",1.70374847686914,4.96433796246422,19.3628286475288,1.6608637891368e-20,8.4826281317039e-19,36.6502221775265,-0.66226782864923,4.96433796246422,-9.16928386552078,6.54030727521328e-11,1.0498305473873e-09,14.3737290721433
"Myo18a",1.18146068652655,5.2245768475355,12.6836201537013,8.85853836619181e-15,1.298783971999e-13,23.3073556329721,-0.319773066636751,5.2245768475355,-4.07063866783574,0.000248236786502084,0.000980809647405088,-0.741225912296772
"Myo5a",0.296415137122989,5.77054368149303,3.82489071035547,0.000506083639437372,0.00118987141850979,-1.72321929769707,-0.194874163857781,5.77054368149303,-2.6352936873638,0.0123620764418664,0.0298623623794308,-4.50107197616571
"Myo6",-0.260289826356126,5.09383969531549,-3.21035200651523,0.00280527797813354,0.00576195501149365,-3.24906415065501,-0.250164485333046,5.09383969531549,-3.0522351624875,0.00427356573064375,0.0119960810112146,-3.3355862963225
"Myo7a",-1.31943446303643,0.141533981709905,-4.58413013281943,5.4071157339454e-05,0.00015098550918551,1.69436125154952,-1.48146396549885,0.141533981709905,-3.70047205586189,0.000721995683935563,0.00253996741752069,-0.460530889991593
"Myo9b",0.738182299503434,3.65455491533136,6.09393489954851,5.40192264152932e-07,2.12439611082543e-06,5.50030485996032,-0.50252365190061,3.65455491533136,-4.73520415067308,3.42950881085973e-05,0.000168308423255088,1.54382121282809
"Myof",1.12264419511667,6.07648789346093,11.8529683067674,6.3155679392469e-14,7.8515353579805e-13,21.1229371453158,-0.936271123232021,6.07648789346093,-10.3841962084122,2.51444757380313e-12,5.4035432560527e-11,17.6029734582098
"Myorg",-1.73049349187495,3.75445984025533,-12.2704069238074,2.32903837006234e-14,3.14753661970166e-13,22.5977161620054,0.897661234711463,3.75445984025533,6.14086706925359,4.67988359506584e-07,3.39564985575565e-06,5.99717483411773
"Mysm1",0.353613536008375,3.7715103674455,3.06534255531733,0.00412846504557899,0.00818203101087534,-3.31613312759829,-0.396933273297206,3.7715103674455,-3.71338576413691,0.000695980089152758,0.0024591713362756,-1.39627888384451
"N4bp1",1.1363183681473,5.98004173014743,13.6617807933273,9.7307170305238e-16,1.71860777733712e-14,25.4221242856349,-0.382140436235312,5.98004173014743,-5.10553800301407,1.11353806780752e-05,6.13902902990331e-05,2.21762028751299
"N4bp2l1",-1.97614999492797,5.91351466961097,-23.482130657485,2.79097887670157e-23,2.93999721315403e-21,43.0440475293589,0.370278041157732,5.91351466961097,4.07030207872005,0.000248481249017667,0.000981446861704197,-0.613704714193111
"N4bp2l2",-0.300324528893417,6.08894707223031,-4.53920000406402,6.18802574586222e-05,0.000170934974829507,0.296972146613935,0.16412549490782,6.08894707223031,2.53225689934193,0.0158829465687107,0.0369090020913233,-4.73972107352219
"Naa10",-0.346867454872709,5.82655972196098,-4.44763510842029,8.13952692828881e-05,0.000219798898374803,0.126052161408435,0.777517556191317,5.82655972196098,10.6808539878357,1.16837014735531e-12,2.71347066899566e-11,18.4739917563399
"Naa38",-0.338649810513933,6.76868858519175,-5.03423499775241,1.38388625427987e-05,4.28757616281352e-05,1.71334042871173,0.258517601223227,6.76868858519175,3.90857291221228,0.000397672622895361,0.00149370952082759,-1.30292986833581
"Naa60",-0.615562848755776,5.94285139224867,-9.3067558592916,4.48012521235823e-11,3.40789924277256e-10,14.5343513307219,0.295065219510281,5.94285139224867,4.50072623864239,6.94435695500585e-05,0.00031755629207426,0.519076301843258
"Naaa",-1.18354019480913,7.44206377248059,-16.5776132403452,2.45821233369265e-18,7.77533220185143e-17,31.3894372304492,0.859526946076415,7.44206377248059,12.0762330113048,3.69440660132721e-14,1.15459734110111e-12,21.8555700300042
"Naalad2",-0.777762678730419,3.3575022370414,-7.43166800063196,9.52724918370075e-09,4.98458917380494e-08,9.54882245737185,-0.352578581917445,3.3575022370414,-3.04717844686487,0.00433082200996809,0.0121368702743488,-2.90218610030702
"Nab2",0.793190138235053,4.39189063805948,6.37777336555066,2.27132405602978e-07,9.48905142104792e-07,6.13526824620359,-0.818656958892235,4.39189063805948,-7.00267793306226,3.42746217653715e-08,3.12739356216437e-07,8.25102844748155
"Nabp1",-1.35966183590683,7.63466076169658,-22.3865075126796,1.38020786109451e-22,1.1799777061734e-20,41.3344044770253,1.00992582651999,7.63466076169658,16.6623891734645,2.09131137689099e-18,1.84129041974327e-16,31.7649303508413
"Nacc2",-0.307459850329676,6.06117701068082,-4.62356269054585,4.80242765356348e-05,0.000135095473192041,0.509485514168269,-0.524430333877324,6.06117701068082,-7.65092190175312,4.98612961184508e-09,5.4418461758139e-08,9.99822445446013
"Nadk",0.641498863209048,7.32580294899404,11.1237969458494,3.80000547557174e-13,4.10553705135489e-12,19.2487052880375,0.511460115063674,7.32580294899404,9.4314754490699,3.18522072910354e-11,5.36846202313764e-10,14.9725758030258
"Nadsyn1",-0.880697761064422,1.82920912204085,-3.32141969925493,0.00207616116071804,0.00437715321196416,-1.98680689637663,0.75748676982228,1.82920912204085,2.97236764557895,0.00526718140276138,0.0143714630411144,-2.6275842219441
"Naglu",0.565688870842209,5.39132087897828,7.29694054561072,1.42164596876545e-08,7.2389206471708e-08,8.72001371462908,-0.760797397870467,5.39132087897828,-10.1055965086715,5.21886658646603e-12,1.04892994867336e-10,16.9569367171948
"Naip2",0.791093355701955,1.44782267772791,2.65823534300671,0.0116832358470778,0.0209960116563327,-3.43710267981566,0.61235022240894,1.44782267772791,2.87804284133704,0.00672014207718647,0.0177211077842302,-2.95587277081927
"Nampt",-0.87140386796398,8.34480161999426,-11.7148565836214,8.82685255844262e-14,1.0659079476408e-12,20.6651359932792,0.255850503814011,8.34480161999426,3.4247682403533,0.00156329951873852,0.00503516454329159,-2.70572573861512
"Nans",0.547016166717557,4.74294357810543,5.86072056392295,1.10306483298321e-06,4.14589324610893e-06,4.50644299800722,-0.317651325352865,4.74294357810543,-3.73732491843231,0.000650133456362086,0.00231940566016326,-1.57640646636003
"Nap1l4",-0.378977314709396,7.22308429567846,-6.1245467612251,4.91926530235099e-07,1.94626063169473e-06,5.02127902143023,0.719096186420461,7.22308429567846,11.9660296619199,4.81010602011772e-14,1.474016385074e-12,21.5900460014677
"Napepld",-0.994814683279253,4.68846986281666,-10.6268591250916,1.34213222614263e-12,1.32728214618866e-11,18.334702361467,0.535016580135895,4.68846986281666,5.69254924639503,1.84686864956357e-06,1.20250310858449e-05,4.3877901325923
"Nasp",0.834067404926548,5.12799560262549,11.1538729240469,3.52419175786624e-13,3.82154543743621e-12,19.5563971251798,-0.213574105616304,5.12799560262549,-3.25863171191294,0.00246252203618331,0.00747628280568469,-2.93494783470717
