"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Erg28","Erg28",0.20409726117011,6.63491387473942,2.65137018040555,0.011882673326789,0.0213025041649379,-4.81317814028113
"Rwdd1","Rwdd1",0.280523981809177,4.95439812908977,2.53784691903019,0.015670494029804,0.0272966910621036,-4.81364246206641
"Ypel2","Ypel2",-0.277842490590158,4.90840013206053,-2.52600277955789,0.0161237651763541,0.0280035597748602,-4.81546176767158
"Polr1has","Polr1has",-0.237488137983374,4.45927873497234,-2.46345147493503,0.0187229262279376,0.0320646078730161,-4.81688450937175
"Ranbp3","Ranbp3",0.205550063812014,5.17439118067735,2.5434823082996,0.0154589572788505,0.026968028681928,-4.8178217396154
"Pfdn4","Pfdn4",0.312921409830517,4.99310442264126,2.51734529051847,0.0164626481179396,0.0285333219473264,-4.81836280141128
"Rer1","Rer1",0.162922882518158,6.73403378189205,2.65633825125592,0.0117380359605617,0.0210816483882946,-4.81927447025604
"Srsf2","Srsf2",0.232321785139225,6.33471431278981,2.64172948545782,0.0121680558586526,0.02176451228326,-4.81958941122465
"Calu","Calu",-0.274377678520544,9.47918258574287,-2.72129172459241,0.00999097106149705,0.0182128363077167,-4.82244999006988
"Ccdc43","Ccdc43",0.339439769828833,3.74441691198108,2.38318638610739,0.0226162346766249,0.0380287539016648,-4.82670928059128
"Cdc20","Cdc20",0.444021954658986,3.27126149738302,2.32717337393603,0.0257530472820792,0.0427454209108006,-4.82800918199133
"Srek1","Srek1",0.235221207010725,6.12897803448409,2.62652289794673,0.0126310896166589,0.0224972215122798,-4.83050264410388
"Chchd1","Chchd1",0.158876516194004,6.46824086725351,2.63422377637282,0.0123946066447077,0.0221294747570009,-4.83087636142435
"Slc36a1","Slc36a1",0.261384057946445,4.14619240204497,2.45524228473139,0.0190910482579047,0.0326381955291639,-4.83130236341155
"Sap30l","Sap30l",0.220490802384252,4.72585550489384,2.52033559440696,0.0163448673457631,0.0283458393275487,-4.83218382602765
"Mafg","Mafg",0.198705056435347,6.61630180457351,2.64251293491383,0.0121446300979316,0.0217292001661203,-4.83268508939531
"Ccdc122","Ccdc122",0.326548296248954,4.03596943119173,2.4134895165216,0.0210674008411252,0.0356655467245795,-4.83402278267272
"Cobll1","Cobll1",-0.232279225147612,4.51912542321173,-2.48324196776983,0.0178619272559816,0.0307462821368648,-4.8345429236366
"Twnk","Twnk",0.323011906034654,3.53321730336171,2.32752501528004,0.0257321878345169,0.0427168076645041,-4.83596644963227
"Rnf166","Rnf166",0.210579629867298,5.9940698762041,2.58737113364794,0.0138990389186871,0.0245030772238537,-4.83713900059363
"Nsf","Nsf",-0.258721413744476,4.10448450356337,-2.42922125781043,0.0203018911486949,0.0344834022131158,-4.84060972760366
"Maged2","Maged2",-0.220843183229292,6.06315808231464,-2.62560843804026,0.0126594462030063,0.0225375201905942,-4.84288425090004
"Wdr59","Wdr59",0.317640241461677,3.31620303513222,2.32558250010682,0.0258476088753466,0.0428842764043509,-4.84324533255947
"Galnt18","Galnt18",0.3882924586816,3.42283251420145,2.34509527780088,0.024709114437034,0.0412039762725268,-4.84531073258497
"Srp9","Srp9",-0.23755186330075,4.33799287067198,-2.45155465688547,0.0192585480142448,0.0329007166915812,-4.84760567433237
"Slc36a4","Slc36a4",-0.304379673892761,2.91724143617834,-2.25490670928854,0.0303772914907749,0.0494537443091159,-4.84783279022525
"Niban1","Niban1",0.271424923687127,5.27830301902075,2.51078541087029,0.0167237520614459,0.0289560943382652,-4.84842031342804
"Plekha6","Plekha6",-0.297605339666083,3.43884243708174,-2.34065831339368,0.0249639433618423,0.0415760310252704,-4.84886530850764
"Nbn","Nbn",0.296702165801221,4.58080084752668,2.48102549935294,0.0179565261576966,0.0308931210006171,-4.84914642402527
"Spats2","Spats2",0.251514321953412,5.44069964567007,2.55423343237134,0.0150626389735406,0.0263545921117948,-4.84920861710568
"Ccdc127","Ccdc127",-0.200890143540951,5.97552522571109,-2.58870233243755,0.0138540701951846,0.0244356884680502,-4.86461013318618
"Slc4a4","Slc4a4",0.297820937988159,6.06904562073201,2.54648648489058,0.0153472621795339,0.0268009175835022,-4.86496685863441
"Dnajc24","Dnajc24",-0.261376028361787,4.04835454731695,-2.38505063050042,0.0225180510198806,0.0378876163623149,-4.86503936155464
"Mthfd2","Mthfd2",0.281216099262735,8.1479645694503,2.66906809813809,0.0113748223860573,0.0204854456587855,-4.86564341632426
"Vcpkmt","Vcpkmt",0.349949443893341,3.25497064391572,2.29628108467076,0.027646143153833,0.0455225676104567,-4.8688866979756
"Ttpal","Ttpal",0.30331607747642,3.43438229070432,2.31866131851924,0.0262626563432313,0.0434811702971432,-4.86915639371155
"Specc1l","Specc1l",-0.193573023684384,5.03898149554071,-2.5286415744603,0.0160217517554549,0.0278427790854113,-4.87180936851183
"Ywhaq","Ywhaq",-0.228224495734672,6.98430329756868,-2.64739363723845,0.011999628734927,0.0214860555189967,-4.87211110455462
"Tfpt","Tfpt",-0.306255656025597,3.35812958253367,-2.29700458901267,0.0276004123921755,0.0454789710596249,-4.87286316559695
"Chst15","Chst15",0.383795412798124,3.31518491236331,2.25261833461331,0.0305351729782026,0.0496764990067339,-4.87315616345054
"Eef1e1","Eef1e1",0.280769715145363,4.15095046836089,2.39443380152001,0.022029708738697,0.0371560405574192,-4.87455228189466
"Trim23","Trim23",-0.335774726828602,3.14701769538814,-2.25684548991495,0.0302441018647348,0.0492505057005026,-4.87457432697518
"Bcl7a","Bcl7a",0.476007271611005,4.11721433147389,2.41197910520603,0.0211422600826761,0.0357768767147752,-4.87606804379783
"Srrd","Srrd",-0.288588172771375,3.66294775139963,-2.33712214021364,0.0251687327096807,0.0418934408167061,-4.87844474368644
"Fbxl17","Fbxl17",-0.262903232702683,4.16361659869932,-2.40206212996107,0.0216397941493651,0.0365558836446462,-4.87913383642496
"Tbcd","Tbcd",0.217622802825903,4.59419931275127,2.46948758119939,0.0184563922843649,0.0316586967390138,-4.88370724000183
"Taf1","Taf1",0.24690653010104,6.00554922396258,2.57980720650294,0.0141571123683208,0.0249291957793206,-4.88528591080772
"Dexi","Dexi",-0.26781692110878,4.81871128309279,-2.49063097994416,0.0175498420170971,0.0302664867881467,-4.88733698540333
"Ube3c","Ube3c",0.179482167552562,5.88381961644991,2.56581857232976,0.0146460323665915,0.0257133764674176,-4.89267073640526
"Slc33a1","Slc33a1",-0.269362157651241,4.56960675655573,-2.44129381903921,0.0197316841142864,0.033606815241858,-4.89422056109059
"Gspt1","Gspt1",0.242911478240735,6.75471266733444,2.621684700073,0.0127817856212824,0.0227278834604204,-4.89482859359654
"Nenf","Nenf",-0.196346643259659,6.55800729485092,-2.62350108569142,0.0127250170593118,0.0226371760050906,-4.89680116212754
"Ldlrad3","Ldlrad3",-0.196003444177668,5.13910623303225,-2.50684966724368,0.016882220288902,0.029217608180793,-4.90094447053343
"Ccdc22","Ccdc22",0.40988974522026,3.21256501591646,2.29527416024948,0.0277099014867969,0.0456148203908511,-4.90305569887134
"Itfg1","Itfg1",-0.197670854159206,6.02442722166934,-2.58937293128618,0.013831467690449,0.0244031188592669,-4.90380770273309
"Plekhf2","Plekhf2",-0.299476120492431,4.79780518402465,-2.43573895368043,0.0199922148443495,0.0340112690315263,-4.90714320027231
"Ciao1","Ciao1",-0.222164367404092,5.08835233220164,-2.49713075042728,0.0172794421368459,0.0298481490967068,-4.90792388240885
"Ubap2","Ubap2",0.183455616530667,5.53741831551518,2.55509806891602,0.0150311745551156,0.0263073427386521,-4.90983496894371
"Zbed4","Zbed4",0.253789980320436,4.20483378560368,2.37721702500238,0.0229332354381672,0.0385147774661206,-4.91323573452177
"Csnk2a1-ps3","Csnk2a1-ps3",0.374056998801118,4.28245079953429,2.38125710328227,0.0227182518274821,0.0381809024302898,-4.91532248252899
"Usp10","Usp10",0.286397633692733,4.28179328233338,2.38482729275822,0.0225297930959233,0.0379019676237991,-4.9173437085722
"Focad","Focad",-0.325035035441469,3.76977584414247,-2.3448601941875,0.0247225568955103,0.0412205661748489,-4.91741111404222
"Akt1s1","Akt1s1",0.260781270289165,4.61572698038145,2.43130737201097,0.0202023018880154,0.0343389652319271,-4.92241799551801
"Bap1","Bap1",-0.225187442778759,4.41169302579165,-2.41629658215729,0.0209289156220248,0.0354463603945806,-4.92604102790389
"Bri3bp","Bri3bp",-0.216923825628007,7.68736776508771,-2.63980936646839,0.012225645508578,0.0218509567808216,-4.92694330796335
"Mipep","Mipep",-0.29055894063511,3.36092144035308,-2.28580798789255,0.0283157897102434,0.0465342926593469,-4.92808901475759
"Ubl5","Ubl5",-0.177507754252186,7.76894130017417,-2.64148278390704,0.012175441065234,0.0217744207499819,-4.92966989259787
"Nfic","Nfic",0.170771795910437,7.51313895606255,2.63576817383781,0.0123476751167535,0.0220490193775478,-4.93498321299304
"Selenoo","Selenoo",-0.282839115885474,3.86139477591203,-2.34896957706529,0.0244885242806041,0.040865008410547,-4.9399118838023
"Zfx","Zfx",0.234945744704011,4.49437198801529,2.42700967062551,0.0204079576387123,0.0346436092405075,-4.94059919640934
"Vrk2","Vrk2",-0.385303132013193,3.50224938918274,-2.28906390589372,0.0281060632108196,0.0462024987823951,-4.94099326243061
"Mrpl32","Mrpl32",-0.225600272931706,5.17953843148442,-2.48436264921161,0.0178142699628607,0.0306687227523464,-4.94199157751189
"Tmem129","Tmem129",-0.287423809411292,4.02496199478752,-2.35137847903178,0.024352267371335,0.0406433796077253,-4.94304969582974
"Msh6","Msh6",0.248718803394861,5.12252685294891,2.48196086289971,0.0179165491836861,0.0308313079447387,-4.94305498761563
"Sh3bp4","Sh3bp4",-0.285943741537531,3.62284182313965,-2.33783012893478,0.0251276102242581,0.041830893950303,-4.94606953027029
"Thyn1","Thyn1",0.20693906143013,5.02929974086392,2.46393527000043,0.0187014348148347,0.0320417554379058,-4.94635083801238
"Ints1","Ints1",0.313648616891345,3.38570012986854,2.27105126803066,0.0292840499423647,0.0478721381765303,-4.94680549363474
