"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nol6","Nol6",0.390267175599472,5.1639646405994,4.1957936766679,0.000171896230529098,0.00104537717926922,0.271863946840109
"Cebpd","Cebpd",-0.451028359098792,5.57056035024176,-4.20084918562928,0.000169353158673227,0.00103097449227385,0.270676452635211
"Brip1","Brip1",-0.998744426132801,2.30094187834414,-3.98438982679894,0.000319213559757278,0.00176977517763927,0.264791180658401
"Aifm1","Aifm1",0.348270249020113,7.08428691024319,4.26924831326601,0.000138365180369265,0.000872958501602456,0.25890200936563
"Aco1","Aco1",0.266884053777813,7.12891274404703,4.2659598244951,0.000139718628037739,0.000880085623913103,0.252893787971417
"Gabpa","Gabpa",0.415834132316606,4.72473698806421,4.14818431457753,0.00019775509124504,0.00117952520578439,0.245454796333538
"Apobec3","Apobec3",-1.03645942397105,2.93757364498758,-3.9865000856563,0.000317261296462736,0.00176317715291505,0.2448939413932
"Agpat5","Agpat5",0.307500381993411,5.75414802699798,4.20660915831971,0.00016650062784898,0.00101755915224643,0.2436169121876
"Topbp1","Topbp1",-0.542161726907982,3.55966372761923,-4.04609091239593,0.000266696400192941,0.0015237211280757,0.241809914046135
"Mef2d","Mef2d",0.284581158895442,5.700051998344,4.20328592186396,0.000168140608987427,0.0010241212725006,0.238161538946517
"Gsk3b","Gsk3b",0.550232146292478,7.90570222486235,4.27457134283938,0.000136201589179872,0.000862536956062336,0.231983967519284
"Slc25a22","Slc25a22",0.326510765052121,6.59522756849863,4.24498286336104,0.000148662926231414,0.000922147846308211,0.230930408716037
"Rad54l","Rad54l",-1.1191947513067,1.62872929258843,-3.99401250494161,0.000310405381157916,0.00173151900089886,0.228081867813501
"Smurf2","Smurf2",0.350988964678205,5.17398216532424,4.16755323318177,0.000186805189648417,0.00112216274311203,0.227913186961738
"Etv3","Etv3",0.533460173283113,4.4660336077526,4.0967721933855,0.000229956788460505,0.00133646807401825,0.225997131861414
"Negr1","Negr1",0.719495084914265,1.99181116543501,3.97971863310653,0.000323576772839992,0.00179059979641943,0.221560915466956
"Carhsp1","Carhsp1",0.306000006810038,6.29184733625219,4.22743630854177,0.00015657387505628,0.000964625889250126,0.218641467691698
"Farp1","Farp1",-0.802770770897744,2.64683129936364,-3.97514920165335,0.000327901166884106,0.00181028449550711,0.21444692528776
"Tmem216","Tmem216",0.404203268916719,4.95157808150121,4.17042103652213,0.000185235211256534,0.00111443397368924,0.212159974035131
"Rbm39","Rbm39",0.217554246238379,8.94411395314374,4.28251856650415,0.000133033015682286,0.000843376420752071,0.210080549314162
"Pbx2","Pbx2",0.225316061791085,6.83215784775275,4.2447207746478,0.000148778155405288,0.000922377655003464,0.207305675702527
"Natd1","Natd1",0.3313184017319,5.43598567504823,4.19215233992258,0.000173751070688224,0.00105448309258213,0.205715417928124
"Gm7049","Gm7049",1.76805427755973,0.85552676404235,4.01431837854297,0.00029258916628136,0.0016500798201661,0.20307776925058
"Ccdc50","Ccdc50",0.233368615951104,7.02937625161626,4.24931381162175,0.000146771417840632,0.000913428363536667,0.199062937630925
"Mogs","Mogs",-0.249746472194202,6.54278575661529,-4.21798408396464,0.000161005000465327,0.000989113291783904,0.198824189815563
"Mgst3","Mgst3",0.547833067888067,7.53216008126855,4.25974473688873,0.000142312141145424,0.000891377064004968,0.192410201551364
